Counter,Date/time,Latitude (deg),Longitude (deg),Altitude (km),B_x,B_y,B_z
1,2022-04-30 15:58:03.031150,19.28569598547656,129.83449590743194,413.4284412604155,10.174564361572266,1.4333337545394897,1.3404043912887573
2,2022-04-30 15:58:16.272183,19.934020164504187,130.37740691245554,413.44918532293644,18.498403549194336,2.4841513633728027,2.532170295715332
3,2022-04-30 15:58:28.331914,20.522708168284392,130.87613096310088,413.47207559074394,25.02294921875,3.5382206439971924,3.7823901176452637
4,2022-04-30 15:58:40.391716,21.109619134828023,131.37906423709018,413.4987023856097,30.15706443786621,4.387333869934082,4.68812370300293
5,2022-04-30 15:58:52.450520,21.694631774652134,131.8863134511023,413.5289891583698,34.1847038269043,5.032490253448486,5.974521636962891
6,2022-04-30 15:59:04.510180,22.27776482957421,132.39811049532537,413.562864699833,37.333709716796875,5.503418445587158,6.607911109924316
7,2022-04-30 15:59:16.567412,22.858786849342657,132.91447127214406,413.6002413328948,39.901405334472656,5.866652965545654,7.065608978271484
8,2022-04-30 15:59:28.627238,23.437865150793037,133.4357696639339,413.6410550356999,42.019596099853516,6.150362968444824,7.693868637084961
9,2022-04-30 15:59:40.683926,24.01464902524579,133.96191940665705,413.6852047801371,43.56656265258789,6.310032367706299,8.176223754882812
10,2022-04-30 15:59:52.744180,24.58938025561908,134.49337652260886,413.7326320127464,44.781429290771484,6.47693395614624,8.809062004089355
11,2022-04-30 16:00:04.803858,25.161781239670184,135.0301273824073,413.78323679876985,45.744590759277344,6.7304768562316895,9.282788276672363
12,2022-04-30 16:00:16.861142,25.73168339788734,135.57225690704843,413.8369237355858,46.52241516113281,6.8598246574401855,9.811605453491211
13,2022-04-30 16:00:28.921115,26.29924401083254,136.12016645673205,413.8936276318661,47.01411056518555,6.861878871917725,10.18120002746582
14,2022-04-30 16:00:40.978870,26.864145262944234,136.67380693040536,413.9532360555115,47.30128860473633,6.8402557373046875,10.519736289978027
15,2022-04-30 16:00:53.039313,27.426528496798817,137.23358066273704,414.0156825429617,47.674163818359375,7.035224437713623,11.157402038574219
16,2022-04-30 16:01:05.096637,27.986032843821697,137.79939743126357,414.08084476426285,47.815101623535156,7.088418960571289,11.760098457336426
17,2022-04-30 16:01:17.146223,28.542353900184494,138.37121275045874,414.1486007048184,47.87008285522461,7.288529872894287,12.110513687133789
18,2022-04-30 16:01:29.196232,29.095776878826115,138.9495931898418,414.2188996420863,47.81880187988281,7.231864929199219,12.37000846862793
19,2022-04-30 16:01:41.254714,29.646569424102132,139.53511800410453,414.29169571694786,47.84489059448242,7.450490951538086,12.71036434173584
20,2022-04-30 16:01:53.306219,30.193925264487376,140.12722763012385,414.3667997135856,47.83845901489258,7.454349517822266,13.133106231689453
21,2022-04-30 16:02:05.356231,30.737993715931562,140.726375428627,414.44414602287986,47.87464141845703,7.312685489654541,13.662826538085938
22,2022-04-30 16:02:17.415927,31.27916995359287,141.3333178013533,414.52371039998184,47.91059112548828,7.332883358001709,13.946167945861816
23,2022-04-30 16:02:29.472614,31.816772882567925,141.94761795309387,414.605311895661,47.84652328491211,7.4253106117248535,14.033960342407227
24,2022-04-30 16:02:41.532425,32.350964995032314,142.5697875043615,414.6888924673066,47.73304748535156,7.238424777984619,14.355497360229492
25,2022-04-30 16:02:53.589822,32.88138454513059,143.19973973140824,414.7743134261139,47.63234329223633,7.248753070831299,14.643243789672852
26,2022-04-30 16:03:05.646233,33.40797936231783,143.83774899756563,414.86148357153445,47.41878128051758,7.239099502563477,14.875879287719727
27,2022-04-30 16:03:17.706380,33.9308323505772,144.4842699635758,414.95033628796,47.20897674560547,7.28382682800293,15.14969539642334
28,2022-04-30 16:03:29.766813,34.449668267543416,145.1393271889429,415.0407455388499,47.12004089355469,7.351576328277588,15.672242164611816
29,2022-04-30 16:03:41.816224,34.96387847582788,145.80250037933286,415.13252282895525,46.989139556884766,7.447196006774902,15.90734577178955
30,2022-04-30 16:03:53.876423,35.47426273460757,146.47519585989488,415.2257323224123,46.836212158203125,7.523402214050293,16.26042366027832
31,2022-04-30 16:04:05.926229,35.97979049462381,147.15643973113012,415.32010858913424,46.55500411987305,7.538768768310547,16.498775482177734
32,2022-04-30 16:04:17.986540,36.48119967641819,147.84761964605985,415.4157132040914,46.272064208984375,7.515229225158691,16.96456527709961
33,2022-04-30 16:04:30.036219,36.977471048644624,148.5477319789976,415.51227699030915,46.09504699707031,7.448141098022461,17.446977615356445
34,2022-04-30 16:04:42.095682,37.469299986888096,149.25816719626076,415.60986159330525,46.088279724121094,7.540095329284668,17.66827964782715
35,2022-04-30 16:04:54.146221,37.955774205553766,149.97802927184944,415.7082143615163,45.8548583984375,7.55232048034668,17.98211669921875
36,2022-04-30 16:05:06.196223,38.43708579299166,150.70801109860608,415.80730178275496,45.7365837097168,7.590925216674805,18.385183334350586
37,2022-04-30 16:05:18.256236,38.91349351454246,151.44896524976102,415.9071107469554,45.45761489868164,7.719944477081299,18.68830108642578
38,2022-04-30 16:05:30.306212,39.3840455104744,152.1998591924963,416.00737524446595,45.18147659301758,7.804905891418457,19.022390365600586
39,2022-04-30 16:05:42.366100,39.849357250850936,152.96213265205594,416.1081616984575,44.932472229003906,7.738976955413818,19.14616584777832
40,2022-04-30 16:05:54.416208,40.30849784070694,153.73472753528327,416.20920592491234,44.70536422729492,7.720196723937988,19.497440338134766
41,2022-04-30 16:06:06.476543,40.76206047941708,154.51911959951548,416.3105780655691,44.67921447753906,7.683134078979492,19.73457145690918
42,2022-04-30 16:06:18.536681,41.209468489993455,155.31482432020528,416.4120929388486,44.546852111816406,7.806179046630859,20.230562210083008
43,2022-04-30 16:06:30.586226,41.65016528200798,156.1213163827721,416.51356634219303,44.33026885986328,8.043298721313477,20.560155868530273
44,2022-04-30 16:06:42.645162,42.08469905954956,156.9400993694471,416.6150708140491,44.17802429199219,8.06371021270752,20.633548736572266
45,2022-04-30 16:06:54.704895,42.51256446776538,157.7707642304278,416.71643918520505,44.05666732788086,8.054360389709473,21.008100509643555
46,2022-04-30 16:07:06.764524,42.93353825975044,158.61340137037996,416.8175702692694,43.89531707763672,8.063553810119629,20.99447250366211
47,2022-04-30 16:07:18.816228,43.347159724207046,159.46759235860765,416.9183062595789,43.56051254272461,8.166417121887207,21.061548233032227
48,2022-04-30 16:07:30.875884,43.75377617893327,160.33459251909736,417.0186887209817,43.36466979980469,8.152246475219727,21.302345275878906
49,2022-04-30 16:07:43.566429,44.17358193709832,161.26030545896452,417.12377018447427,43.12403106689453,8.085521697998047,21.59932518005371
